name,price,rating,image_url,source
"Sponsored Ad - Amazon Fire Max 11 tablet (newest model) vivid 11” display, all-in-one for streaming, reading, and gaming, 14-hour battery life, optional stylus and keyboard, 64 GB, Gray",Price not available,4.4 out of 5 stars,https://m.media-amazon.com/images/I/71wk6xXIzPL._AC_UY218_.jpg,https://www.amazon.com/s?k=laptop&page=1
"Sponsored Ad - Amazon Fire 7 tablet (newest model) 7” display, read and watch, under $60 with 10-hour battery life, 16 GB, Black",Price not available,4.4 out of 5 stars,https://m.media-amazon.com/images/I/71bVGQPCkCL._AC_UY218_.jpg,https://www.amazon.com/s?k=laptop&page=1
"Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode",Price not available,4.2 out of 5 stars,https://m.media-amazon.com/images/I/61gKkYQn6lL._AC_UY218_.jpg,https://www.amazon.com/s?k=laptop&page=1
"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",147.99,4.1 out of 5 stars,https://m.media-amazon.com/images/I/815uX7wkOZS._AC_UY218_.jpg,https://www.amazon.com/s?k=laptop&page=1
"ASUS ROG Strix G16 Gaming Laptop, 165Hz Display, NVIDIA® GeForce RTX™ 4060, Intel Core i7-13650HX, 16GB DDR5, 1TB PCIe Gen4 SSD, Wi-Fi 6E, Windows 11, G614JV-AS74",Price not available,4.3 out of 5 stars,https://m.media-amazon.com/images/I/81GrCeuCzxL._AC_UY218_.jpg,https://www.amazon.com/s?k=laptop&page=1
"HP 17.3"" Laptop, Full HD (1920 * 1080) Display, AMD Ryzen 5 Processor (Beats i7-11370H), 32GB RAM, 1TB SSD, Windows 11 Home, Webcam, Wi-Fi, Bluetooth, Natural Silver, Alpacatec Accessory",509.00,4.4 out of 5 stars,https://m.media-amazon.com/images/I/812OWZrCpiL._AC_UY218_.jpg,https://www.amazon.com/s?k=laptop&page=1
"Sponsored Ad - Amazon Fire Max 11 Keyboard Case (Only compatible with 13th generation tablet, 2023 release)",Price not available,4.6 out of 5 stars,https://m.media-amazon.com/images/I/510k2fryw3L._AC_UY218_.jpg,https://www.amazon.com/s?k=laptop&page=1
"HP 17 Laptop, 17.3"" FHD Display, 32GB RAM, 1TB SSD, AMD Ryzen 5 Processor(Beats i7-1165G7, Up to 4.3GHz), Webcam, Numeric Keypad, Long Battery Life, Windows 11 Home, Alpacatec Accessories, Silver",408.00,4.0 out of 5 stars,https://m.media-amazon.com/images/I/71v+60IGI6L._AC_UY218_.jpg,https://www.amazon.com/s?k=laptop&page=1
"Dell Inspiron 3520 15.6"" Touchscreen i7 Laptop, 15.6"" FHD Touchscreen, Intel Core i7-1255U, 32GB RAM, 1TB SSD, Numeric Keypad, Webcam, SD Card Reader, HDMI, Wi-Fi, Windows 11 Home, Black",499.00,4.0 out of 5 stars,https://m.media-amazon.com/images/I/61W6039Mm5L._AC_UY218_.jpg,https://www.amazon.com/s?k=laptop&page=1
"HP 15.6"" Portable Laptop (Include 1 Year Microsoft 365), HD Display, Intel Quad-Core N200 Processor, 16GB RAM, 128GB Storage, Wi-Fi 5, Webcam, HDMI, Numeric Keypad, Windows 11 Home, Red",229.98,4.3 out of 5 stars,https://m.media-amazon.com/images/I/71pTP-ll4sL._AC_UY218_.jpg,https://www.amazon.com/s?k=laptop&page=1
